#  log(age)     mini          mact           logl     logt  phase
    6.6000    0.1500000060    0.1500000000   -2.4676    3.5346   0.0
    6.6000    0.2000000030    0.2000000000   -2.1914    3.5560   0.0
    6.6000    0.2500000000    0.2500000000   -2.0031    3.5676   0.0
    6.6000    0.3000000119    0.3000000000   -1.8535    3.5768   0.0
    6.6000    0.3499999940    0.3500000000   -1.7268    3.5848   0.0
    6.6000    0.4000000060    0.4000000000   -1.5825    3.5920   0.0
    6.6000    0.4499999881    0.4500000000   -1.4616    3.6009   0.0
    6.6000    0.5000000000    0.5000000000   -1.3338    3.6115   0.0
    6.6000    0.5500000119    0.5500000000   -1.1977    3.6235   0.0
    6.6000    0.6000000238    0.6000000000   -1.0679    3.6356   0.0
    6.6000    0.6999999881    0.7000000000   -0.7927    3.6674   0.0
    6.6000    0.8257970214    0.8258000000   -0.4570    3.7179   0.0
    6.6000    0.9773910046    0.9774000000   -0.1127    3.7648   0.0
    6.6000    1.3742029667    1.3742000000    0.6159    3.8622   0.0
    6.6000    1.4742029905    1.4742000000    0.7540    3.8890   0.0
    6.6000    1.6000000238    1.6000000000    0.9080    3.9212   0.0
    6.6000    1.7257970572    1.7258000000    1.0480    3.9504   0.0
    6.6000    1.8386955261    1.8387000000    1.1541    3.9724   0.0
    6.6000    1.9257969856    1.9258000000    1.2450    3.9900   0.0
    6.6000    2.2000000477    2.2000000000    1.4617    4.0322   0.0
    6.6000    2.5000000000    2.5000000000    1.6713    4.0711   0.0
    6.6000    3.0000000000    3.0000000000    1.9650    4.1228   0.0
    6.6000    3.5000000000    3.5000000000    2.2050    4.1639   0.0
    6.6000    4.0000000000    4.0000000000    2.4077    4.1980   0.0
    6.6000    4.5000000000    4.5000000000    2.5832    4.2272   0.0
    6.6000    5.0000000000    5.0000000000    2.7411    4.2532   0.0
    6.6000    6.0000000000    6.0000000000    3.0139    4.2956   0.0
    6.6000    7.0000000000    7.0000000000    3.2438    4.3310   0.0
    6.6000    8.5608377457    8.5608000000    3.5447    4.3733   0.0
    6.6000    9.0000000000    9.0000000000    3.6211    4.3843   0.0
    6.6000   14.2260894775   14.2033000000    4.2804    4.4743   0.0
    6.6000   16.7692108154   16.7227000000    4.5040    4.5010   0.0
    6.6000   18.7101497650   18.6386000000    4.6584    4.5173   0.0
    6.6000   23.5371303558   23.3082000000    4.9407    4.5422   0.0
    6.6000   27.4202995300   26.9584000000    5.1330    4.5519   0.0
    6.6000   29.1402378082   28.4990000000    5.2025    4.5534   0.0
    6.6000   35.3707046509   33.7261000000    5.4265    4.5393   0.0
    6.6000   37.4202995300   35.3045000000    5.4922    4.5248   0.0
    6.6000   40.4599876404   37.6386000000    5.5687    4.5054   0.0
    6.6000   45.7273979187   41.0572000000    5.6888    4.4302   0.0
    6.6000   48.0889587402   42.2983000000    5.7381    4.3763   0.0
    6.6000   49.8590927124   41.3368000000    5.7663    4.2834   0.0
    6.6000   49.9930992126   41.1370000000    5.7681    4.2746   0.0
    6.6000   53.6963386536   36.6976000000    5.8330    4.3763   0.0
    6.6000   54.6833610535   36.1608000000    5.8565    4.4061   0.0
    6.6000   55.0641441345   35.9499000000    5.8898    4.4927   0.0
    6.6000   55.0705375671   35.9459000000    5.8895    4.4865   0.0
    6.6000   55.0724029541   35.9447000000    5.8898    4.4831   0.0
    6.6000   55.0738296509   35.9438000000    5.8905    4.4801   0.0
    6.6000   55.0752067566   35.9429000000    5.8914    4.4767   0.0
    6.6000   55.0766258240   35.9420000000    5.8921    4.4729   0.0
    6.6000   55.0775566101   35.9414000000    5.8926    4.4703   0.0
    6.6000   55.0784912109   35.9408000000    5.8930    4.4676   0.0
    6.6000   55.0794219971   35.9402000000    5.8933    4.4648   0.0
    6.6000   55.0803565979   35.9396000000    5.8936    4.4618   0.0
    6.6000   55.0812911987   35.9390000000    5.8938    4.4587   0.0
    6.6000   55.0822219849   35.9384000000    5.8941    4.4556   0.0
    6.6000   55.0831527710   35.9378000000    5.8943    4.4522   0.0
    6.6000   55.0840835571   35.9316000000    5.8945    4.4486   0.0
    6.6000   55.0850105286   35.9253000000    5.8947    4.4446   0.0
    6.6000   55.0859451294   35.9190000000    5.8948    4.4404   0.0
    6.6000   55.0863838196   35.9160000000    5.8949    4.4380   0.0
    6.6000   55.0868759155   35.9127000000    5.8949    4.4356   0.0
    6.6000   55.0873184204   35.9097000000    5.8950    4.4331   0.0
    6.6000   55.0878067017   35.9064000000    5.8950    4.4303   0.0
    6.6000   55.0882492065   35.8916000000    5.8951    4.4274   0.0
    6.6000   55.0887374878   35.8852000000    5.8951    4.4242   0.0
    6.6000   55.0891799927   35.8795000000    5.8952    4.4206   0.0
    6.6000   55.0896682739   35.8732000000    5.8953    4.4168   0.0
    6.6000   55.0901107788   35.8675000000    5.8953    4.4135   0.0
    6.6000   55.0905990601   35.8611000000    5.8954    4.4105   0.0
    6.6000   55.0910415649   35.8540000000    5.8955    4.4076   0.0
    6.6000   55.0915298462   35.8460000000    5.8955    4.4048   0.0
    6.6000   55.0919723511   35.8388000000    5.8956    4.4024   0.0
    6.6000   55.0924606323   35.8309000000    5.8956    4.3998   0.0
    6.6000   55.0929031372   35.8259000000    5.8955    4.3969   0.0
    6.6000   55.0938262939   35.8155000000    5.8953    4.3921   0.0
    6.6000   55.0952491760   35.7853000000    5.8939    4.3865   0.0
    6.6000   55.0962257385   35.7728000000    5.8926    4.3823   0.0
    6.6000   55.0976448059   35.7545000000    5.8940    4.3777   0.0
    6.6000   55.0999450684   35.7238000000    5.8964    4.3714   0.0
    6.6000   55.1050796509   35.6208000000    5.9002    4.3604   0.0
    6.6000   55.1350860596   34.9890000000    5.9101    4.2551   0.0
    6.6000   55.1440696716   34.7658000000    5.9132    4.2175   0.0
    6.6000   55.1466903687   34.7053000000    5.9138    4.2078   0.0
    6.6000   55.1519737244   34.5660000000    5.9150    4.1795   0.0
    6.6000   55.1529426575   34.5275000000    5.9171    4.1861   0.0
    6.6000   55.1534271240   34.5162000000    5.9167    4.1911   0.0
    6.6000   55.1538619995   34.5061000000    5.9166    4.1918   0.0
    6.6000   55.1547851562   34.4846000000    5.9163    4.1965   0.0
    6.6000   55.1553153992   34.4764000000    5.9164    4.1990   0.0
    6.6000   55.1567192078   34.4463000000    5.9160    4.1908   0.0
    6.6000   55.1674079895   34.2369000000    5.9210    4.1219   0.0
    6.6000   55.2076568604   33.4885000000    5.9381    3.8656   0.0
    6.6000   55.2217521667   33.1934000000    5.9413    3.8523   0.0
    6.6000   55.2508735657   32.7368000000    5.9502    3.8379   0.0
    6.6000   55.2701263428   32.4503000000    5.9569    3.8315   0.0
    6.6000   55.2797088623   32.2981000000    5.9601    3.8280   0.0
    6.6000   55.2892684937   32.1239000000    5.9632    3.8243   0.0
    6.6000   55.4718360901   30.3296000000    5.9521    3.9311   0.0
    6.6000   55.5636825562   29.5373000000    5.9470    3.9878   0.0
    6.6000   55.6655006409   28.6760000000    5.9416    4.0488   0.0
    6.6000   55.8676414490   27.2636000000    5.9203    4.1943   0.0
    6.6000   60.0000000000   21.2985000000    5.8306    4.8713   0.0
    6.6000   69.4043579102   13.1081000000    5.7151    5.2438   0.0
#  log(age)     mini          mact           logl     logt  phase
    6.6500    0.1500000060    0.1500000000   -2.4676    3.5346   0.0
    6.6500    0.2000000030    0.2000000000   -2.1914    3.5560   0.0
    6.6500    0.2500000000    0.2500000000   -2.0031    3.5676   0.0
    6.6500    0.3000000119    0.3000000000   -1.8535    3.5768   0.0
    6.6500    0.3499999940    0.3500000000   -1.7268    3.5848   0.0
    6.6500    0.4000000060    0.4000000000   -1.5825    3.5920   0.0
    6.6500    0.4499999881    0.4500000000   -1.4616    3.6009   0.0
    6.6500    0.5000000000    0.5000000000   -1.3338    3.6115   0.0
    6.6500    0.5500000119    0.5500000000   -1.1977    3.6235   0.0
    6.6500    0.6000000238    0.6000000000   -1.0679    3.6356   0.0
    6.6500    0.6999999881    0.7000000000   -0.7927    3.6674   0.0
    6.6500    0.8257970214    0.8258000000   -0.4569    3.7179   0.0
    6.6500    0.9773910046    0.9774000000   -0.1127    3.7648   0.0
    6.6500    1.3742029667    1.3742000000    0.6159    3.8622   0.0
    6.6500    1.4742029905    1.4742000000    0.7540    3.8890   0.0
    6.6500    1.6000000238    1.6000000000    0.9080    3.9212   0.0
    6.6500    1.7257970572    1.7258000000    1.0480    3.9504   0.0
    6.6500    1.8386955261    1.8387000000    1.1541    3.9724   0.0
    6.6500    1.9257969856    1.9258000000    1.2450    3.9900   0.0
    6.6500    2.2000000477    2.2000000000    1.4618    4.0321   0.0
    6.6500    2.5000000000    2.5000000000    1.6714    4.0710   0.0
    6.6500    3.0000000000    3.0000000000    1.9651    4.1227   0.0
    6.6500    3.5000000000    3.5000000000    2.2052    4.1637   0.0
    6.6500    4.0000000000    4.0000000000    2.4081    4.1977   0.0
    6.6500    4.5000000000    4.5000000000    2.5837    4.2269   0.0
    6.6500    5.0000000000    5.0000000000    2.7418    4.2528   0.0
