# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    1.00000000   1.0000  -0.1630   3.7510   4.5557   0.0000   0.0000
    5.50    1.00999999   1.0100  -0.1416   3.7534   4.5482   0.0000   0.0000
    5.50    1.01999998   1.0200  -0.1204   3.7558   4.5409   0.0000   0.0000
    5.50    1.02999997   1.0300  -0.0994   3.7582   4.5336   0.0000   0.0000
    5.50    1.03999996   1.0400  -0.0786   3.7605   4.5263   0.0000   0.0000
    5.50    1.04999995   1.0500  -0.0580   3.7628   4.5192   0.0000   0.0000
    5.50    1.05999994   1.0600  -0.0377   3.7651   4.5121   0.0000   0.0000
    5.50    1.07000005   1.0700  -0.0175   3.7674   4.5050   0.0000   0.0000
    5.50    1.08000004   1.0800   0.0025   3.7696   4.4981   0.0000   0.0000
    5.50    1.09000003   1.0900   0.0224   3.7719   4.4912   0.0000   0.0000
    5.50    1.10000002   1.1000   0.0420   3.7741   4.4843   0.0000   0.0000
    5.50    1.11000001   1.1100   0.0615   3.7763   4.4776   0.0000   0.0000
    5.50    1.12000000   1.1200   0.0808   3.7784   4.4708   0.0000   0.0000
    5.50    1.13000000   1.1300   0.0999   3.7806   4.4642   0.0000   0.0000
    5.50    1.13999999   1.1400   0.1189   3.7827   4.4576   0.0000   0.0000
    5.50    1.14999998   1.1500   0.1376   3.7848   4.4510   0.0000   0.0000
    5.50    1.15999997   1.1600   0.1563   3.7869   4.4446   0.0000   0.0000
    5.50    1.16999996   1.1700   0.1747   3.7890   4.4381   0.0000   0.0000
    5.50    1.17999995   1.1800   0.1930   3.7911   4.4318   0.0000   0.0000
    5.50    1.19000006   1.1900   0.2112   3.7931   4.4254   0.0000   0.0000
    5.50    1.20000005   1.2000   0.2292   3.7951   4.4192   0.0000   0.0000
    5.50    1.21000004   1.2100   0.2470   3.7971   4.4130   0.0000   0.0000
    5.50    1.22000003   1.2200   0.2647   3.7991   4.4068   0.0000   0.0000
    5.50    1.23000002   1.2300   0.2823   3.8011   4.4007   0.0000   0.0000
    5.50    1.24000001   1.2400   0.2997   3.8031   4.3946   0.0000   0.0000
    5.50    1.25000000   1.2500   0.3170   3.8050   4.3886   0.0000   0.0000
    5.50    1.25999999   1.2600   0.3327   3.8071   4.3846   0.0000   0.0000
    5.50    1.26999998   1.2700   0.3483   3.8091   4.3806   0.0000   0.0000
    5.50    1.27999997   1.2800   0.3637   3.8111   4.3767   0.0000   0.0000
    5.50    1.28999996   1.2900   0.3790   3.8131   4.3727   0.0000   0.0000
