# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
5.50 0.09000000 0.0900 -0.8498 3.5692 3.4707 0.4787 0.0000
5.50 0.10000000 0.1000 -0.7568 3.5741 3.4433 0.4787 0.0000
5.50 0.12000000 0.1200 -0.6004 3.5830 3.4014 0.4787 0.0000
5.50 0.14000000 0.1400 -0.4604 3.5914 3.3623 0.4787 0.0000
5.50 0.16000000 0.1600 -0.3474 3.5993 3.3387 0.4787 0.0000
5.50 0.16055737 0.1606 -0.3444 3.5995 3.3381 0.4787 0.0000
5.50 0.20000000 0.2000 -0.1418 3.6150 3.2930 0.4787 0.0000
5.50 0.25000000 0.2500 0.0755 3.6374 3.2619 0.4787 0.0000
5.50 0.25131950 0.2513 0.0781 3.6378 3.2633 0.4787 0.0000
5.50 0.30000001 0.3000 0.2372 3.6549 3.2497 0.4787 0.0000
5.50 0.34112498 0.3411 0.3236 3.6654 3.2608 0.4787 0.0000
5.50 0.34999999 0.3500 0.3505 3.6677 3.2542 0.4787 0.0000
5.50 0.36693743 0.3669 0.3583 3.6708 3.2793 0.4787 0.0000
5.50 0.40000001 0.4000 0.4169 3.6771 3.2836 0.4787 0.0000
5.50 0.40950957 0.4095 0.4227 3.6785 3.2937 0.4787 0.0000
5.50 0.45730492 0.4573 0.4553 3.6851 3.3354 0.4787 0.0000
5.50 0.48283672 0.4828 0.4740 3.6883 3.3528 0.4787 0.0000
5.50 0.50000000 0.5000 0.4836 3.6902 3.3663 0.4787 0.0000
5.50 0.52887529 0.5289 0.5072 3.6934 3.3797 0.4787 0.0000
5.50 0.55434012 0.5543 0.5258 3.6960 3.3920 0.4787 0.0000
5.50 0.57660705 0.5766 0.5460 3.6982 3.3975 0.4787 0.0000
5.50 0.60000002 0.6000 0.5611 3.7003 3.4082 0.4787 0.0000
5.50 0.61038327 0.6104 0.5706 3.7010 3.4089 0.4787 0.0000
5.50 0.62493682 0.6249 0.5826 3.7021 3.4117 0.4787 0.0000
5.50 0.64068782 0.6407 0.5938 3.7036 3.4171 0.4787 0.0000
5.50 0.64999998 0.6500 0.5992 3.7044 3.4214 0.4787 0.0000
5.50 0.66675925 0.6668 0.6130 3.7056 3.4232 0.4787 0.0000
5.50 0.68646568 0.6865 0.6276 3.7070 3.4271 0.4787 0.0000
5.50 0.69999999 0.7000 0.6372 3.7081 3.4303 0.4787 0.0000
5.50 0.71885872 0.7189 0.6528 3.7117 3.4408 0.4787 0.0000
5.50 0.74281371 0.7428 0.6736 3.7166 3.4536 0.4787 0.0000
5.50 0.75000000 0.7500 0.6795 3.7181 3.4578 0.4787 0.0000
5.50 0.75674784 0.7567 0.6837 3.7184 3.4588 0.4787 0.0000
5.50 0.78385693 0.7839 0.7025 3.7198 3.4608 0.4787 0.0000
5.50 0.80000001 0.8000 0.7136 3.7207 3.4622 0.4787 0.0000
5.50 0.80924320 0.8092 0.7194 3.7211 3.4632 0.4787 0.0000
5.50 0.84515017 0.8452 0.7433 3.7228 3.4649 0.4787 0.0000
5.50 0.85000002 0.8500 0.7462 3.7230 3.4654 0.4787 0.0000
5.50 0.85630071 0.8563 0.7497 3.7233 3.4661 0.4787 0.0000
5.50 0.89134306 0.8913 0.7722 3.7248 3.4669 0.4787 0.0000
5.50 0.89999998 0.9000 0.7776 3.7252 3.4673 0.4787 0.0000
5.50 0.91973770 0.9197 0.7890 3.7259 3.4684 0.4787 0.0000
5.50 0.94999999 0.9500 0.8075 3.7272 3.4689 0.4787 0.0000
5.50 0.97085732 0.9709 0.8192 3.7278 3.4694 0.4787 0.0000
5.50 1.00000000 1.0000 0.8357 3.7289 3.4698 0.4787 0.0000
5.50 1.01806068 1.0181 0.8453 3.7295 3.4703 0.4787 0.0000
5.50 1.04999995 1.0500 0.8626 3.7305 3.4707 0.4787 0.0000
5.50 1.09370089 1.0937 0.8856 3.7319 3.4709 0.4787 0.0000
5.50 1.10000002 1.1000 0.8891 3.7321 3.4706 0.4787 0.0000
5.50 1.13160002 1.1316 0.9048 3.7329 3.4706 0.4787 0.0000
5.50 1.14999998 1.1500 0.9131 3.7335 3.4714 0.4787 0.0000
5.50 1.20000005 1.2000 0.9377 3.7348 3.4705 0.4787 0.0000
5.50 1.24901938 1.2490 0.9606 3.7360 3.4700 0.4787 0.0000
5.50 1.25000000 1.2500 0.9610 3.7360 3.4700 0.4787 0.0000
5.50 1.25398743 1.2540 0.9626 3.7361 3.4702 0.4787 0.0000
5.50 1.29999995 1.3000 0.9836 3.7372 3.4693 0.4787 0.0000
5.50 1.30003464 1.3000 0.9836 3.7372 3.4693 0.4787 0.0000
5.50 1.35000002 1.3500 1.0063 3.7383 3.4672 0.4787 0.0000
5.50 1.39999998 1.4000 1.0281 3.7393 3.4653 0.4787 0.0000
5.50 1.44906008 1.4491 1.0495 3.7403 3.4628 0.4787 0.0000
5.50 1.45000005 1.4500 1.0499 3.7403 3.4628 0.4787 0.0000
5.50 1.48038816 1.4804 1.0624 3.7409 3.4618 0.4787 0.0000
5.50 1.50000000 1.5000 1.0712 3.7413 3.4603 0.4787 0.0000
5.50 1.54342508 1.5434 1.0892 3.7422 3.4580 0.4787 0.0000
5.50 1.54999995 1.5500 1.0920 3.7423 3.4575 0.4787 0.0000
5.50 1.58349729 1.5835 1.1055 3.7429 3.4557 0.4787 0.0000
5.50 1.60000002 1.6000 1.1125 3.7432 3.4544 0.4787 0.0000
5.50 1.62031281 1.6203 1.1199 3.7435 3.4539 0.4787 0.0000
5.50 1.64999998 1.6500 1.1331 3.7441 3.4506 0.4787 0.0000
5.50 1.70000005 1.7000 1.1532 3.7449 3.4470 0.4787 0.0000
5.50 1.71291375 1.7129 1.1578 3.7452 3.4465 0.4787 0.0000
5.50 1.75000000 1.7500 1.1747 3.7458 3.4416 0.4787 0.0000
5.50 1.79999995 1.8000 1.1945 3.7467 3.4377 0.4787 0.0000
5.50 1.85000002 1.8500 1.2154 3.7475 3.4319 0.4787 0.0000
5.50 1.86556876 1.8656 1.2219 3.7478 3.4301 0.4787 0.0000
5.50 1.89999998 1.9000 1.2372 3.7484 3.4250 0.4787 0.0000
5.50 1.92565751 1.9257 1.2479 3.7488 3.4219 0.4787 0.0000
5.50 1.95000005 1.9500 1.2588 3.7492 3.4180 0.4787 0.0000
5.50 1.98513496 1.9851 1.2726 3.7498 3.4143 0.4787 0.0000
5.50 2.00000000 2.0000 1.2799 3.7500 3.4113 0.4787 0.0000
5.50 2.04999995 2.0500 1.3033 3.7510 3.4022 0.4787 0.0000
5.50 2.07160687 2.0716 1.3124 3.7514 3.3993 0.4787 0.0000
5.50 2.09999990 2.1000 1.3262 3.7519 3.3935 0.4787 0.0000
5.50 2.15000010 2.1500 1.3532 3.7527 3.3801 0.4787 0.0000
5.50 2.19857931 2.1986 1.3795 3.7537 3.3672 0.4787 0.0000
5.50 2.20000005 2.2000 1.3804 3.7537 3.3668 0.4787 0.0000
5.50 2.25000000 2.2500 1.4048 3.7547 3.3563 0.4787 0.0000
5.50 2.29999995 2.3000 1.4303 3.7557 3.3443 0.4787 0.0000
5.50 2.32215548 2.3222 1.4428 3.7562 3.3378 0.4787 0.0000
5.50 2.40000010 2.4000 1.5024 3.7582 3.3007 0.4787 0.0000
5.50 2.52749252 2.5275 1.6034 3.7619 3.2367 0.4787 0.0000
5.50 2.59999990 2.6000 1.6835 3.7649 3.1813 0.4787 0.0000
5.50 2.62364888 2.6236 1.7113 3.7660 3.1618 0.4787 0.0000
5.50 2.69129062 2.6913 1.7921 3.7698 3.1072 0.4787 0.0000
5.50 2.77173781 2.7717 1.8743 3.7756 3.0611 0.4787 0.0000
5.50 2.79999995 2.8000 1.9012 3.7780 3.0480 0.4787 0.0000
5.50 2.89545369 2.8955 1.9828 3.7886 3.0235 0.4787 0.0000
5.50 2.96395469 2.9640 2.0379 3.8009 3.0275 0.4787 0.0000
5.50 3.00000000 3.0000 2.0662 3.8099 3.0404 0.4787 0.0000
5.50 3.04090381 3.0409 2.0977 3.8219 3.0629 0.4787 0.0000
5.50 3.08779335 3.0878 2.1332 3.8367 3.0931 0.4787 0.0000
5.50 3.13405705 3.1341 2.1675 3.8515 3.1246 0.4787 0.0000
5.50 3.18023133 3.1802 2.2011 3.8664 3.1572 0.4787 0.0000
5.50 3.20000005 3.2000 2.2153 3.8729 3.1714 0.4787 0.0000
5.50 3.24273157 3.2427 2.2453 3.8867 3.2023 0.4787 0.0000
5.50 3.28779316 3.2878 2.2763 3.9012 3.2355 0.4787 0.0000
5.50 3.33314180 3.3331 2.3069 3.9158 3.2694 0.4787 0.0000
5.50 3.37885094 3.3789 2.3370 3.9305 3.3039 0.4787 0.0000
5.50 3.40000010 3.4000 2.3507 3.9373 3.3201 0.4787 0.0000
5.50 3.40903044 3.4090 2.3565 3.9402 3.3270 0.4787 0.0000
5.50 3.45341516 3.4534 2.3844 3.9542 3.3608 0.4787 0.0000
5.50 3.49862742 3.4986 2.4121 3.9684 3.3954 0.4787 0.0000
5.50 3.54470205 3.5447 2.4397 3.9828 3.4309 0.4787 0.0000
5.50 3.59167123 3.5917 2.4671 3.9973 3.4672 0.4787 0.0000
5.50 3.59999990 3.6000 2.4719 3.9998 3.4736 0.4787 0.0000
5.50 3.63709927 3.6371 2.4929 4.0113 3.5030 0.4787 0.0000
5.50 3.68668222 3.6867 2.5203 4.0264 3.5419 0.4787 0.0000
5.50 3.73238087 3.7324 2.5448 4.0401 3.5777 0.4787 0.0000
5.50 3.78031993 3.7803 2.5700 4.0543 3.6149 0.4787 0.0000
5.50 3.82430696 3.8243 2.5923 4.0689 3.6558 0.4787 0.0000
5.50 3.88173151 3.8817 2.6217 4.0899 3.7169 0.4787 0.0000
5.50 3.94629908 3.9463 2.6557 4.1139 3.7863 0.4787 0.0000
5.50 4.00000000 4.0000 2.6846 4.1342 3.8440 0.4787 0.0000
5.50 4.02213764 4.0221 2.6946 4.1401 3.8603 0.4787 0.0000
5.50 4.07229757 4.0723 2.7167 4.1533 3.8963 0.4787 0.0000
5.50 4.13244486 4.1324 2.7426 4.1687 3.9386 0.4787 0.0000
5.50 4.19521427 4.1952 2.7687 4.1844 3.9816 0.4787 0.0000
5.50 4.19999981 4.2000 2.7706 4.1856 3.9849 0.4787 0.0000
5.50 4.24447489 4.2445 2.7886 4.1962 4.0143 0.4787 0.0000
5.50 4.31067371 4.3107 2.8143 4.2116 4.0568 0.4787 0.0000
5.50 4.37968874 4.3797 2.8398 4.2270 4.0997 0.4787 0.0000
5.50 4.40000010 4.4000 2.8471 4.2315 4.1122 0.4787 0.0000
5.50 4.41740274 4.4174 2.8533 4.2352 4.1227 0.4787 0.0000
5.50 4.49454594 4.4945 2.8789 4.2509 4.1673 0.4787 0.0000
5.50 4.57668495 4.5767 2.9047 4.2667 4.2128 0.4787 0.0000
5.50 4.59999990 4.6000 2.9119 4.2712 4.2256 0.4787 0.0000
5.50 4.60163260 4.6016 2.9124 4.2715 4.2265 0.4787 0.0000
5.50 4.70345211 4.7035 2.9421 4.2896 4.2789 0.4787 0.0000
5.50 4.80000019 4.8000 2.9697 4.3060 4.3256 0.4787 0.0000
5.50 4.85669041 4.8567 2.9858 4.3154 4.3521 0.4787 0.0000
5.50 4.95611858 4.9561 3.0146 4.3313 4.3956 0.4787 0.0000
5.50 5.00000000 5.0000 3.0276 4.3382 4.4141 0.4787 0.0000
5.50 5.09006929 5.0901 3.0544 4.3521 4.4506 0.4787 0.0000
5.50 5.19999981 5.2000 3.0873 4.3685 4.4928 0.4787 0.0000
5.50 5.22702026 5.2270 3.0952 4.3725 4.5031 0.4787 0.0000
5.50 5.33340406 5.3334 3.1252 4.3874 4.5414 0.4787 0.0000
5.50 5.40000010 5.4000 3.1415 4.3958 4.5640 0.4787 0.0000
5.50 5.42400408 5.4240 3.1471 4.3987 4.5721 0.4787 0.0000
5.50 5.59999990 5.6000 3.1677 4.4129 4.6221 0.4787 0.0000
5.50 5.75441217 5.7544 3.1644 4.4174 4.6552 0.4787 0.0000
5.50 5.80000019 5.8000 3.1607 4.4174 4.6624 0.4787 0.0000
5.50 5.85735655 5.8574 3.1562 4.4173 4.6709 0.4787 0.0000
5.50 6.00000000 6.0000 3.1513 4.4161 4.6811 0.4787 0.0000
5.50 6.07540274 6.0754 3.1525 4.4156 4.6837 0.4787 0.0000
5.50 6.19999981 6.2000 3.1645 4.4162 4.6828 0.4787 0.0000
5.50 6.37761164 6.3776 3.1963 4.4195 4.6765 0.4787 0.0000
5.50 6.40000010 6.4000 3.2013 4.4202 4.6757 0.4787 0.0000
5.50 7.00000000 7.0000 3.3275 4.4368 4.6549 0.4787 0.0000
5.50 7.04725075 7.0473 3.3367 4.4380 4.6533 0.4787 0.0000
5.50 8.00000000 8.0000 3.5075 4.4626 4.6360 0.4787 0.0000
5.50 9.00000000 9.0000 3.6640 4.4850 4.6201 0.4787 0.0000
5.50 10.00000000 10.0000 3.8014 4.5044 4.6064 0.4787 0.0000
5.50 11.00000000 11.0000 3.9235 4.5219 4.5954 0.4787 0.0000
5.50 12.00000000 12.0000 4.0340 4.5373 4.5842 0.4787 0.0000
5.50 14.00000000 14.0000 4.2259 4.5645 4.5681 0.4787 0.0000
5.50 16.00000000 15.9999 4.3872 4.5859 4.5507 0.4787 0.0000
5.50 18.00000000 17.9998 4.5257 4.6050 4.5396 0.4787 0.0000
5.50 20.00000000 19.9997 4.6466 4.6210 4.5285 0.4787 0.0000
5.50 24.00000000 23.9994 4.8483 4.6479 4.5133 0.4787 0.0000
5.50 28.00000000 27.9989 5.0117 4.6691 4.5019 0.4787 0.0000
5.50 30.00000000 29.9986 5.0827 4.6782 4.4971 0.4787 0.0000
5.50 35.00000000 34.9977 5.2365 4.6973 4.4869 0.4787 0.0000
5.50 40.00000000 39.9964 5.3644 4.7127 4.4786 0.4787 0.0000
5.50 45.00000000 44.9950 5.4731 4.7254 4.4715 0.4787 0.0000
5.50 50.00000000 49.9933 5.5673 4.7359 4.4653 0.4787 0.0000
5.50 50.69048309 50.6835 5.5792 4.7372 4.4645 0.4787 0.0000
5.50 55.00000000 54.9914 5.6501 4.7449 4.4598 0.4787 0.0000
5.50 60.00000000 59.9893 5.7236 4.7525 4.4546 0.4787 0.0000
5.50 65.00000000 64.9871 5.7897 4.7592 4.4499 0.4787 0.0000
5.50 70.00000000 69.9847 5.8496 4.7650 4.4456 0.4787 0.0000
5.50 75.00000000 74.9822 5.9042 4.7702 4.4416 0.4787 0.0000
5.50 80.00000000 79.9795 5.9544 4.7748 4.4378 0.4787 0.0000
5.50 90.00000000 89.9740 6.0438 4.7826 4.4308 0.4787 0.0000
5.50 95.00000000 94.9710 6.0839 4.7860 4.4276 0.4787 0.0000
5.50 100.00000000 99.9680 6.1214 4.7890 4.4246 0.4787 0.0000
5.50 103.95016479 103.9157 6.1490 4.7911 4.4222 0.4787 0.0000
5.50 120.00000000 119.9550 6.2512 4.7989 4.4133 0.4787 0.0000
5.50 142.45046997 142.3900 6.3673 4.8066 4.4024 0.4787 0.0000
5.50 150.00000000 149.9339 6.4023 4.8089 4.3991 0.4787 0.0000
5.50 195.36735535 195.2665 6.5714 4.8182 4.3820 0.4787 0.0000
5.50 200.00000000 199.8952 6.5864 4.8190 4.3804 0.4787 0.0000
5.50 250.00000000 249.8536 6.7221 4.8250 4.3654 0.4787 0.0000
5.50 300.00000000 299.8098 6.8291 4.8288 4.3529 0.4787 0.0000
# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
5.55 0.09000000 0.0900 -0.8529 3.5691 3.4734 0.4787 0.0000
5.55 0.10000000 0.1000 -0.7603 3.5740 3.4462 0.4787 0.0000
5.55 0.12000000 0.1200 -0.6042 3.5828 3.4046 0.4787 0.0000
5.55 0.14000000 0.1400 -0.4655 3.5913 3.3666 0.4787 0.0000
5.55 0.16000000 0.1600 -0.3528 3.5991 3.3433 0.4787 0.0000
5.55 0.17192315 0.1719 -0.2913 3.6040 3.3325 0.4787 0.0000
5.55 0.20000000 0.2000 -0.1505 3.6147 3.3004 0.4787 0.0000
5.55 0.20747444 0.2075 -0.1246 3.6178 3.3027 0.4787 0.0000
5.55 0.25000000 0.2500 0.0601 3.6366 3.2742 0.4787 0.0000
5.55 0.26756758 0.2676 0.0948 3.6423 3.2918 0.4787 0.0000
5.55 0.30000001 0.3000 0.2138 3.6541 3.2696 0.4787 0.0000
