# log(age) Mini Mact logl logt logg Composition Phase
5.50 0.09000000 0.0900 -1.0057 3.4845 3.2878 0.4787 0.0000
5.50 0.09750684 0.0975 -0.9522 3.4882 3.2839 0.4787 0.0000
5.50 0.10188549 0.1019 -0.9222 3.4902 3.2813 0.4787 0.0000
5.50 0.11632345 0.1163 -0.8344 3.4965 3.2759 0.4787 0.0000
5.50 0.12076335 0.1208 -0.8100 3.4983 3.2751 0.4787 0.0000
5.50 0.13140476 0.1314 -0.7455 3.5029 3.2656 0.4787 0.0000
5.50 0.14633358 0.1463 -0.6671 3.5091 3.2588 0.4787 0.0000
5.50 0.15870829 0.1587 -0.6058 3.5141 3.2528 0.4787 0.0000
5.50 0.16959478 0.1696 -0.5443 3.5190 3.2396 0.4787 0.0000
5.50 0.18514599 0.1851 -0.4630 3.5254 3.2219 0.4787 0.0000
5.50 0.20000000 0.2000 -0.4068 3.5306 3.2202 0.4787 0.0000
5.50 0.22605933 0.2261 -0.2902 3.5417 3.2013 0.4787 0.0000
5.50 0.25000000 0.2500 -0.2005 3.5507 3.1912 0.4787 0.0000
5.50 0.26070619 0.2607 -0.1596 3.5551 3.1861 0.4787 0.0000
5.50 0.30000001 0.3000 -0.0122 3.5703 3.1606 0.4787 0.0000
5.50 0.34999999 0.3500 0.1399 3.5873 3.1432 0.4787 0.0000
5.50 0.40000001 0.4000 0.2707 3.6021 3.1296 0.4787 0.0000
5.50 0.44999999 0.4500 0.3726 3.6142 3.1272 0.4787 0.0000
5.50 0.50000000 0.5000 0.4549 3.6242 3.1308 0.4787 0.0000
5.50 0.50376374 0.5038 0.4596 3.6248 3.1318 0.4787 0.0000
5.50 0.51965165 0.5197 0.4703 3.6271 3.1438 0.4787 0.0000
5.50 0.52971214 0.5297 0.4788 3.6286 3.1496 0.4787 0.0000
5.50 0.53798187 0.5380 0.4897 3.6300 3.1511 0.4787 0.0000
5.50 0.54827565 0.5483 0.5116 3.6322 3.1462 0.4787 0.0000
5.50 0.55000001 0.5500 0.5143 3.6326 3.1464 0.4787 0.0000
5.50 0.56451136 0.5645 0.5206 3.6344 3.1587 0.4787 0.0000
5.50 0.57645977 0.5765 0.5277 3.6360 3.1669 0.4787 0.0000
5.50 0.59043080 0.5904 0.5429 3.6380 3.1704 0.4787 0.0000
5.50 0.60000002 0.6000 0.5511 3.6396 3.1755 0.4787 0.0000
5.50 0.60197550 0.6020 0.5505 3.6398 3.1783 0.4787 0.0000
5.50 0.61385065 0.6139 0.5521 3.6410 3.1899 0.4787 0.0000
5.50 0.62589204 0.6259 0.5621 3.6423 3.1938 0.4787 0.0000
5.50 0.63887954 0.6389 0.5739 3.6441 3.1979 0.4787 0.0000
5.50 0.64999998 0.6500 0.5800 3.6458 3.2060 0.4787 0.0000
5.50 0.65781325 0.6578 0.5832 3.6465 3.2110 0.4787 0.0000
5.50 0.67503017 0.6750 0.5950 3.6483 3.2177 0.4787 0.0000
5.50 0.69376057 0.6938 0.6062 3.6506 3.2273 0.4787 0.0000
5.50 0.69999999 0.7000 0.6094 3.6514 3.2311 0.4787 0.0000
5.50 0.75000000 0.7500 0.6437 3.6599 3.2611 0.4787 0.0000
5.50 0.75898218 0.7590 0.6492 3.6607 3.2636 0.4787 0.0000
5.50 0.78005725 0.7801 0.6627 3.6625 3.2693 0.4787 0.0000
5.50 0.80000001 0.8000 0.6746 3.6643 3.2758 0.4787 0.0000
5.50 0.80391705 0.8039 0.6768 3.6646 3.2770 0.4787 0.0000
5.50 0.84064996 0.8406 0.6994 3.6676 3.2856 0.4787 0.0000
5.50 0.85000002 0.8500 0.7060 3.6684 3.2869 0.4787 0.0000
5.50 0.87876767 0.8788 0.7229 3.6705 3.2930 0.4787 0.0000
5.50 0.89999998 0.9000 0.7366 3.6721 3.2961 0.4787 0.0000
5.50 0.91603839 0.9160 0.7449 3.6732 3.2998 0.4787 0.0000
5.50 0.94999999 0.9500 0.7646 3.6756 3.3053 0.4787 0.0000
5.50 0.95431310 0.9543 0.7669 3.6758 3.3062 0.4787 0.0000
5.50 1.00000000 1.0000 0.7939 3.6787 3.3111 0.4787 0.0000
5.50 1.03034711 1.0303 0.8102 3.6805 3.3149 0.4787 0.0000
5.50 1.04999995 1.0500 0.8211 3.6818 3.3171 0.4787 0.0000
5.50 1.07083118 1.0708 0.8313 3.6829 3.3201 0.4787 0.0000
5.50 1.10000002 1.1000 0.8471 3.6845 3.3223 0.4787 0.0000
5.50 1.14999998 1.1500 0.8728 3.6871 3.3264 0.4787 0.0000
5.50 1.18321490 1.1832 0.8885 3.6887 3.3294 0.4787 0.0000
5.50 1.20000005 1.2000 0.8975 3.6895 3.3298 0.4787 0.0000
5.50 1.25000000 1.2500 0.9209 3.6918 3.3334 0.4787 0.0000
5.50 1.29580009 1.2958 0.9416 3.6938 3.3360 0.4787 0.0000
5.50 1.29999995 1.3000 0.9434 3.6940 3.3364 0.4787 0.0000
5.50 1.31320536 1.3132 0.9490 3.6945 3.3374 0.4787 0.0000
5.50 1.35000002 1.3500 0.9656 3.6960 3.3388 0.4787 0.0000
5.50 1.35899484 1.3590 0.9692 3.6964 3.3395 0.4787 0.0000
5.50 1.39999998 1.4000 0.9873 3.6979 3.3404 0.4787 0.0000
5.50 1.42461312 1.4246 0.9972 3.6988 3.3417 0.4787 0.0000
5.50 1.45000005 1.4500 1.0080 3.6997 3.3421 0.4787 0.0000
5.50 1.47528231 1.4753 1.0179 3.7006 3.3432 0.4787 0.0000
5.50 1.50000000 1.5000 1.0278 3.7015 3.3441 0.4787 0.0000
5.50 1.51598966 1.5160 1.0338 3.7020 3.3448 0.4787 0.0000
5.50 1.54999995 1.5500 1.0470 3.7031 3.3456 0.4787 0.0000
5.50 1.60000002 1.6000 1.0660 3.7046 3.3465 0.4787 0.0000
5.50 1.61755610 1.6176 1.0724 3.7051 3.3469 0.4787 0.0000
5.50 1.64999998 1.6500 1.0850 3.7061 3.3468 0.4787 0.0000
5.50 1.68708026 1.6871 1.0978 3.7072 3.3480 0.4787 0.0000
5.50 1.70000005 1.7000 1.1027 3.7075 3.3477 0.4787 0.0000
5.50 1.75000000 1.7500 1.1192 3.7088 3.3491 0.4787 0.0000
5.50 1.79999995 1.8000 1.1367 3.7101 3.3489 0.4787 0.0000
5.50 1.81869650 1.8187 1.1423 3.7106 3.3497 0.4787 0.0000
5.50 1.85000002 1.8500 1.1533 3.7113 3.3491 0.4787 0.0000
5.50 1.89999998 1.9000 1.1688 3.7125 3.3501 0.4787 0.0000
5.50 1.95000005 1.9500 1.1846 3.7136 3.3499 0.4787 0.0000
5.50 2.00000000 2.0000 1.2002 3.7147 3.3495 0.4787 0.0000
5.50 2.04999995 2.0500 1.2152 3.7157 3.3495 0.4787 0.0000
