# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.080000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.090000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.100000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.110000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.130000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.150000   0.1500  -2.3725   3.5679   5.2040   0.4787   0.0000
    5.50    0.200000   0.2000  -2.0804   3.5931   5.1378   0.4787   0.0000
    5.50    0.250000   0.2500  -1.8891   3.6051   5.0912   0.4787   0.0000
    5.50    0.300000   0.3000  -1.7384   3.6144   5.0571   0.4787   0.0000
    5.50    0.350000   0.3500  -1.6138   3.6221   5.0301   0.4787   0.0000
    5.50    0.400000   0.4000  -1.4678   3.6285   4.9676   0.4787   0.0000
    5.50    0.450000   0.4500  -1.3484   3.6363   4.9308   0.4787   0.0000
    5.50    0.500000   0.5000  -1.2156   3.6459   4.8820   0.4787   0.0000
    5.50    0.550000   0.5500  -1.0693   3.6591   4.8298   0.4787   0.0000
    5.50    0.600000   0.6000  -0.9190   3.6754   4.7826   0.4787   0.0000
    5.50    0.700000   0.7000  -0.6160   3.7173   4.7143   0.4787   0.0000
    5.50    0.800000   0.8000  -0.3422   3.7579   4.6609   0.4787   0.0000
    5.50    0.900000   0.9000  -0.1002   3.7893   4.5957   0.4787   0.0000
    5.50    1.050000   1.0500   0.2145   3.8298   4.5100   0.4787   0.0000
    5.50    1.150000   1.1500   0.4006   3.8597   4.4829   0.4787   0.0000
    5.50    1.250000   1.2500   0.5676   3.8900   4.4733   0.4787   0.0000
    5.50    1.350000   1.3500   0.7161   3.9213   4.4834   0.4787   0.0000
    5.50    1.450000   1.4500   0.8543   3.9521   4.4994   0.4787   0.0000
    5.50    1.550000   1.5500   0.9750   3.9794   4.5171   0.4787   0.0000
    5.50    1.625000   1.6250   1.0653   3.9990   4.5254   0.4787   0.0000
    5.50    1.700000   1.7000   1.1458   4.0167   4.5354   0.4787   0.0000
    5.50    1.775000   1.7750   1.2219   4.0319   4.5388   0.4787   0.0000
    5.50    1.900000   1.9000   1.3346   4.0564   4.5540   0.4787   0.0000
    5.50    2.011300   2.0112   1.3965   4.0660   4.5596   0.0000   0.0000
    5.50    2.061200   2.0612   1.4365   4.0736   4.5608   0.0000   0.0000
    5.50    2.113000   2.1130   1.4768   4.0811   4.5612   0.0000   0.0000
    5.50    2.166000   2.1660   1.5170   4.0886   4.5616   0.0000   0.0000
    5.50    2.220500   2.2205   1.5572   4.0960   4.5619   0.0000   0.0000
    5.50    2.276200   2.2762   1.5974   4.1035   4.5623   0.0000   0.0000
    5.50    2.333500   2.3335   1.6376   4.1109   4.5627   0.0000   0.0000
    5.50    2.392100   2.3921   1.6778   4.1184   4.5631   0.0000   0.0000
    5.50    2.452300   2.4523   1.7180   4.1259   4.5634   0.0000   0.0000
    5.50    2.514300   2.5143   1.7582   4.1332   4.5634   0.0000   0.0000
    5.50    2.578700   2.5787   1.7983   4.1406   4.5641   0.0000   0.0000
    5.50    2.645600   2.6456   1.8386   4.1483   4.5656   0.0000   0.0000
    5.50    2.713900   2.7139   1.8788   4.1559   4.5670   0.0000   0.0000
    5.50    2.784100   2.7841   1.9190   4.1635   4.5684   0.0000   0.0000
    5.50    2.856100   2.8561   1.9592   4.1712   4.5698   0.0000   0.0000
    5.50    2.930000   2.9300   1.9994   4.1788   4.5713   0.0000   0.0000
    5.50    3.006500   3.0065   2.0396   4.1862   4.5718   0.0000   0.0000
    5.50    3.086100   3.0861   2.0798   4.1930   4.5701   0.0000   0.0000
    5.50    3.168300   3.1683   2.1200   4.1995   4.5671   0.0000   0.0000
    5.50    3.252700   3.2527   2.1602   4.2059   4.5641   0.0000   0.0000
    5.50    3.339200   3.3392   2.2004   4.2123   4.5610   0.0000   0.0000
    5.50    3.428000   3.4280   2.2406   4.2188   4.5581   0.0000   0.0000
    5.50    3.519200   3.5192   2.2808   4.2252   4.5550   0.0000   0.0000
    5.50    3.612900   3.6129   2.3209   4.2316   4.5520   0.0000   0.0000
    5.50    3.709000   3.7090   2.3611   4.2380   4.5490   0.0000   0.0000
    5.50    3.807800   3.8078   2.4013   4.2445   4.5460   0.0000   0.0000
    5.50    3.909100   3.9091   2.4414   4.2509   4.5429   0.0000   0.0000
    5.50    4.014500   4.0145   2.4816   4.2573   4.5401   0.0000   0.0000
    5.50    4.125200   4.1252   2.5218   4.2638   4.5371   0.0000   0.0000
    5.50    4.239500   4.2395   2.5620   4.2701   4.5340   0.0000   0.0000
    5.50    4.357000   4.3570   2.6022   4.2764   4.5310   0.0000   0.0000
    5.50    4.477800   4.4778   2.6424   4.2826   4.5280   0.0000   0.0000
    5.50    4.602000   4.6020   2.6826   4.2889   4.5248   0.0000   0.0000
    5.50    4.729500   4.7295   2.7228   4.2953   4.5217   0.0000   0.0000
    5.50    4.860600   4.8606   2.7630   4.3015   4.5187   0.0000   0.0000
    5.50    4.996300   4.9963   2.8032   4.3079   4.5156   0.0000   0.0000
    5.50    5.139900   5.1399   2.8433   4.3141   4.5127   0.0000   0.0000
    5.50    5.289500   5.2895   2.8836   4.3204   4.5099   0.0000   0.0000
    5.50    5.443300   5.4433   2.9238   4.3267   4.5072   0.0000   0.0000
    5.50    5.601600   5.6016   2.9640   4.3329   4.5045   0.0000   0.0000
    5.50    5.764300   5.7643   3.0042   4.3391   4.5018   0.0000   0.0000
    5.50    5.932000   5.9320   3.0444   4.3454   4.4991   0.0000   0.0000
    5.50    6.104500   6.1045   3.0846   4.3517   4.4963   0.0000   0.0000
    5.50    6.281900   6.2819   3.1248   4.3579   4.4936   0.0000   0.0000
    5.50    6.464600   6.4646   3.1650   4.3642   4.4909   0.0000   0.0000
    5.50    6.652600   6.6526   3.2052   4.3704   4.4882   0.0000   0.0000
    5.50    6.846000   6.8460   3.2454   4.3767   4.4855   0.0000   0.0000
    5.50    7.046300   7.0463   3.2857   4.3829   4.4824   0.0000   0.0000
    5.50    7.256800   7.2568   3.3259   4.3889   4.4791   0.0000   0.0000
    5.50    7.473400   7.4734   3.3661   4.3949   4.4757   0.0000   0.0000
    5.50    7.695700   7.6957   3.4062   4.4009   4.4722   0.0000   0.0000
    5.50    7.924800   7.9248   3.4464   4.4069   4.4688   0.0000   0.0000
    5.50    8.160500   8.1605   3.4866   4.4129   4.4654   0.0000   0.0000
    5.50    8.403300   8.4033   3.5268   4.4189   4.4619   0.0000   0.0000
    5.50    8.653500   8.6535   3.5670   4.4248   4.4584   0.0000   0.0000
    5.50    8.911000   8.9110   3.6072   4.4309   4.4549   0.0000   0.0000
    5.50    9.184100   9.1840   3.6474   4.4368   4.4515   0.0000   0.0000
    5.50    9.469900   9.4698   3.6876   4.4426   4.4480   0.0000   0.0000
    5.50    9.764400   9.7643   3.7278   4.4485   4.4445   0.0000   0.0000
    5.50   10.068100  10.0680   3.7680   4.4543   4.4410   0.0000   0.0000
    5.50   10.381100  10.3810   3.8082   4.4602   4.4374   0.0000   0.0000
    5.50   10.703600  10.7034   3.8484   4.4660   4.4339   0.0000   0.0000
    5.50   11.036300  11.0360   3.8886   4.4719   4.4304   0.0000   0.0000
    5.50   11.379400  11.3791   3.9288   4.4777   4.4269   0.0000   0.0000
    5.50   11.733000  11.7326   3.9690   4.4836   4.4234   0.0000   0.0000
    5.50   12.102800  12.1024   4.0092   4.4893   4.4199   0.0000   0.0000
    5.50   12.498300  12.4978   4.0494   4.4952   4.4167   0.0000   0.0000
    5.50   12.906200  12.9056   4.0896   4.5009   4.4135   0.0000   0.0000
    5.50   13.327500  13.3268   4.1297   4.5066   4.4102   0.0000   0.0000
