#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60    0.1500000060  0.1500  -2.4325   3.5472   5.1812   0.4787   0.0000
    6.60    0.2000000030  0.2000  -2.1461   3.5713   5.1162   0.4787   0.0000
    6.60    0.2500000000  0.2500  -1.9557   3.5833   5.0706   0.4787   0.0000
    6.60    0.3000000119  0.3000  -1.8045   3.5928   5.0369   0.4787   0.0000
    6.60    0.3499999940  0.3500  -1.6787   3.6006   5.0093   0.4787   0.0000
    6.60    0.4000000060  0.4000  -1.5333   3.6070   4.9473   0.4787   0.0000
    6.60    0.4499999881  0.4500  -1.4164   3.6151   4.9140   0.4787   0.0000
    6.60    0.5000000000  0.5000  -1.2861   3.6250   4.8690   0.4787   0.0000
    6.60    0.5500000119  0.5500  -1.1465   3.6368   4.8180   0.4787   0.0000
    6.60    0.6000000238  0.6000  -1.0105   3.6491   4.7692   0.4787   0.0000
    6.60    0.6999999881  0.7000  -0.7231   3.6845   4.6903   0.4787   0.0000
    6.60    0.8391190767  0.8391  -0.3546   3.7401   4.6229   0.4787   0.0000
    6.60    0.9782381654  0.9782  -0.0383   3.7821   4.5411   0.4787   0.0000
    6.60    1.0782381296  1.0782   0.1628   3.8072   4.4827   0.4787   0.0000
    6.60    1.1782381535  1.1782   0.3551   3.8344   4.4376   0.4787   0.0000
    6.60    1.2782381773  1.2782   0.5225   3.8603   4.4094   0.4787   0.0000
    6.60    1.3782380819  1.3782   0.6727   3.8858   4.3941   0.4787   0.0000
    6.60    1.4782381058  1.4782   0.8079   3.9142   4.4028   0.4787   0.0000
    6.60    1.7608809471  1.7609   1.1313   3.9844   4.4362   0.4787   0.0000
    6.60    1.8608808517  1.8609   1.2298   4.0047   4.4425   0.4787   0.0000
    6.60    1.9608808756  1.9609   1.3179   4.0219   4.4463   0.4787   0.0000
    6.60    2.2000000477  2.2000   1.5082   4.0586   4.4524   0.4787   0.0000
    6.60    2.5000000000  2.5000   1.7144   4.0965   4.4533   0.4787   0.0000
    6.60    2.8907051086  2.8907   1.9430   4.1359   4.4455   0.4787   0.0000
    6.60    3.0000000000  3.0000   2.0015   4.1460   4.4435   0.4787   0.0000
    6.60    3.5000000000  3.5000   2.2366   4.1853   4.4328   0.4787   0.0000
    6.60    4.0000000000  4.0000   2.4364   4.2182   4.4224   0.4787   0.0000
    6.60    4.5000000000  4.5000   2.6090   4.2460   4.4124   0.4787   0.0000
    6.60    5.0000000000  5.0000   2.7614   4.2710   4.4054   0.4787   0.0000
    6.60    6.0000000000  6.0000   3.0286   4.3118   4.3806   0.4787   0.0000
    6.60    7.0000000000  7.0000   3.2539   4.3460   4.3592   0.4787   0.0000
    6.60    9.0000000000  9.0000   3.6196   4.3967   4.3053   0.4787   0.0000
    6.60   10.1614923477 10.1615   3.7927   4.4203   4.2794   0.4787   0.0000
    6.60   12.0000000000 12.0000   4.0358   4.4537   4.2424   0.4787   0.0000
    6.60   15.0000000000 14.9685   4.3528   4.4947   4.1850   0.4787   0.0000
    6.60   17.9385643005 17.8839   4.5946   4.5230   4.1338   0.4787   0.0000
    6.60   20.0000000000 19.9235   4.7472   4.5382   4.0892   0.4787   0.0000
    6.60   24.6469383240 24.4181   5.0031   4.5593   4.0057   0.4787   0.0000
    6.60   30.0000000000 29.4517   5.2492   4.5689   3.8794   0.4787   0.0000
    6.60   36.7388877869 35.3298   5.4677   4.5559   3.6882   0.4787   0.0000
    6.60   40.0000000000 37.9933   5.5603   4.5367   3.5502   0.4787   0.0000
    6.60   42.3847656250 39.9506   5.6153   4.5237   3.4651   0.4787   0.0000
    6.60   48.5240783691 44.4179   5.7442   4.4500   3.0874   0.4787   0.0000
    6.60   51.3146171570 46.1517   5.7972   4.3930   2.8231   0.4787   0.0000
    6.60   53.4173355103 42.2481   5.8212   4.1543   1.8057   0.4787   0.0000
    6.60   53.4807586670 42.0720   5.8219   4.1457   1.7689   0.4787   0.0000
    6.60   55.8775749207 37.6004   5.8674   4.4049   2.7113   0.4787   0.0000
    6.60   56.3117141724 37.3411   5.8828   4.4302   2.7942   0.4787   0.0000
    6.60   56.4533081055 37.2467   5.9043   4.4732   2.9435   0.4787   0.0000
    6.60   56.4771003723 37.2154   5.9099   4.4302   2.7656   0.4787   0.0000
    6.60   56.4779205322 37.2048   5.9100   4.4268   2.7517   0.4787   0.0000
    6.60   56.4875755310 37.1142   5.9099   4.3918   2.6107   0.4787   0.0000
    6.60   56.4952545166 37.0265   5.9146   4.3796   2.5564   0.4787   0.0000
    6.60   56.5025939941 36.9324   5.9156   4.3687   2.5107   0.4787   0.0000
    6.60   56.5094375610 36.8438   5.9164   4.3562   2.4586   0.4787   0.0000
    6.60   56.5157852173 36.7609   5.9175   4.3412   2.3967   0.4787   0.0000
    6.60   56.5214767456 36.6858   5.9187   4.3253   2.3310   0.4787   0.0000
    6.60   56.5278091431 36.6014   5.9204   4.3035   2.2409   0.4787   0.0000
    6.60   56.5320320129 36.5447   5.9216   4.2874   2.1750   0.4787   0.0000
    6.60   56.5375442505 36.4598   5.9231   4.2656   2.0852   0.4787   0.0000
    6.60   56.5440254211 36.3442   5.9257   4.2402   1.9794   0.4787   0.0000
    6.60   56.5506591797 36.2507   5.9273   4.2209   1.8997   0.4787   0.0000
    6.60   56.5574493408 36.1473   5.9300   4.1678   1.6832   0.4787   0.0000
    6.60   56.5648765564 36.0340   5.9333   4.0891   1.3637   0.4787   0.0000
    6.60   56.5706787109 35.9273   5.9360   4.0172   1.0722   0.4787   0.0000
    6.60   56.5776023865 35.8129   5.9385   3.9427   0.7701   0.4787   0.0000
    6.60   56.5821113586 35.7435   5.9398   3.8980   0.5894   0.4787   0.0000
    6.60   56.5851669312 35.6989   5.9407   3.8776   0.5064   0.4787   0.0000
    6.60   56.5874137878 35.6573   5.9415   3.8695   0.4727   0.4787   0.0000
    6.60   56.5914306641 35.5816   5.9433   3.8638   0.4473   0.4787   0.0000
    6.60   56.5933570862 35.5452   5.9442   3.8610   0.4347   0.4787   0.0000
    6.60   56.5972137451 35.4724   5.9459   3.8555   0.4099   0.4787   0.0000
    6.60   56.6010589600 35.4016   5.9476   3.8502   0.3861   0.4787   0.0000
