2.198	0.455	0.016  0.003	0.101  0.003	0.030  0.003
1.650	0.606	0.169  0.020	0.097  0.020	0.186  0.020
1.250	0.800	0.131  0.013	0.299  0.013	0.257  0.013
0.810	1.235	0.567  0.048	999    999	999	   999
0.650	1.538	0.801  0.113	999    999	999	   999
0.550	1.818	1.000  0.046	1.000  0.048	1.000  0.048
0.440	2.273	1.374  0.127	1.349  0.113	1.293  0.113
0.370	2.703	1.672  0.123	1.665  0.046	1.518  0.046
0.296	3.375	2.000  0.095	1.899  0.127	1.786  0.127
0.276	3.625	2.220  0.093	2.067  0.123	1.969  0.123
0.258	3.875	2.428  0.093	2.249  0.095	2.149  0.095
0.242	4.125	2.661  0.095	2.447  0.093	2.391  0.093
0.229	4.375	2.947  0.099	2.777  0.093	2.771  0.093
0.216	4.625	3.161  0.102	2.922  0.095	2.967  0.095
0.205	4.875	3.293  0.104	2.921  0.099	2.846  0.099
0.195	5.125	3.489  0.105	2.812  0.102	2.646  0.102
0.186	5.375	3.637  0.107	2.805  0.104	2.565  0.104
0.178	5.625	3.866  0.112	2.863  0.105	2.566  0.105
0.170	5.875	4.013  0.115	2.932  0.107	2.598  0.107
0.163	6.125	4.243  0.119	3.060  0.112	2.607  0.112
0.157	6.375	4.472  0.124	3.110  0.115	2.668  0.115
0.151	6.625	4.776  0.131	3.299  0.119	2.787  0.119
0.145	6.875	5.000  0.135	3.408  0.124	2.874  0.124
0.140	7.125	5.272  0.142	3.515  0.131	2.983  0.131
0.136	7.375	5.575  0.148	3.670  0.135	3.118  0.135
0.131	7.625	5.795  0.153	3.862  0.142	3.231  0.142
0.127	7.875	6.074  0.160	3.937  0.148	3.374  0.148
0.123	8.125	6.297  0.368	4.055  0.153	3.366  0.153
0.119	8.375	6.436  0.271	3.969  0.160	3.467  0.160
0.116	8.625	6.992  0.201	999    999	999	   999
