#  log(age)     mini          mact           logl     logt  phase
    6.6000    0.1500000060    0.1500000000   -2.4002    3.5584   0.0
    6.6000    0.2000000030    0.2000000000   -2.0997    3.5865   0.0
    6.6000    0.2500000000    0.2500000000   -1.9066    3.5991   0.0
    6.6000    0.3000000119    0.3000000000   -1.7539    3.6092   0.0
    6.6000    0.3499999940    0.3500000000   -1.6283    3.6171   0.0
    6.6000    0.4000000060    0.4000000000   -1.4837    3.6224   0.0
    6.6000    0.4499999881    0.4500000000   -1.3712    3.6294   0.0
    6.6000    0.5000000000    0.5000000000   -1.2420    3.6380   0.0
    6.6000    0.5500000119    0.5500000000   -1.1005    3.6491   0.0
    6.6000    0.6000000238    0.6000000000   -0.9576    3.6623   0.0
    6.6000    0.6999999881    0.7000000000   -0.6601    3.7016   0.0
    6.6000    0.8000000119    0.8000000000   -0.3880    3.7430   0.0
    6.6000    0.8999999762    0.9000000000   -0.1496    3.7752   0.0
    6.6000    1.0018262863    1.0018000000    0.0765    3.8023   0.0
    6.6000    1.1018263102    1.1018000000    0.2766    3.8268   0.0
    6.6000    1.2018263340    1.2018000000    0.4529    3.8514   0.0
    6.6000    1.3018262386    1.3018000000    0.6119    3.8824   0.0
    6.6000    1.4018262625    1.4018000000    0.7551    3.9147   0.0
    6.6000    1.5018262863    1.5018000000    0.8827    3.9436   0.0
    6.6000    1.6009131670    1.6009000000    1.0031    3.9710   0.0
    6.6000    1.7000000477    1.7000000000    1.1129    3.9944   0.0
    6.6000    1.7990868092    1.7991000000    1.2125    4.0143   0.0
    6.6000    1.8999999762    1.9000000000    1.3032    4.0334   0.0
    6.6000    2.0000000000    2.0000000000    1.3927    4.0510   0.0
    6.6000    2.2000000477    2.2000000000    1.5446    4.0803   0.0
    6.6000    2.5000000000    2.5000000000    1.7483    4.1177   0.0
    6.6000    3.0000000000    3.0000000000    2.0309    4.1659   0.0
    6.6000    3.5000000000    3.5000000000    2.2626    4.2040   0.0
    6.6000    4.0000000000    4.0000000000    2.4620    4.2360   0.0
    6.6000    4.5000000000    4.5000000000    2.6301    4.2620   0.0
    6.6000    5.0000000000    5.0000000000    2.7786    4.2857   0.0
    6.6000    5.6228661537    5.6229000000    2.9473    4.3107   0.0
    6.6000    6.0000000000    6.0000000000    3.0416    4.3250   0.0
    6.6000    7.0000000000    7.0000000000    3.2633    4.3581   0.0
    6.6000    8.9908685684    8.9909000000    3.6236    4.4088   0.0
    6.6000   11.5072021484   11.5072000000    3.9730    4.4552   0.0
    6.6000   11.9634742737   11.9635000000    4.0293    4.4627   0.0
    6.6000   14.9452114105   14.9165000000    4.3424    4.5032   0.0
    6.6000   18.3936481476   18.3445000000    4.6212    4.5363   0.0
    6.6000   19.9086856842   19.8484000000    4.7315    4.5475   0.0
    6.6000   24.8413391113   24.6619000000    5.0047    4.5706   0.0
    6.6000   30.0000000000   29.5954000000    5.2437    4.5804   0.0
    6.6000   32.8975257874   32.2810000000    5.3435    4.5802   0.0
    6.6000   36.4589691162   35.5042000000    5.4552    4.5746   0.0
    6.6000   39.6114654541   38.2658000000    5.5464    4.5617   0.0
    6.6000   40.0000000000   38.5996000000    5.5571    4.5597   0.0
    6.6000   40.9373703003   39.4164000000    5.5794    4.5556   0.0
    6.6000   43.1478195190   41.3256000000    5.6299    4.5454   0.0
    6.6000   45.1109962463   42.9272000000    5.6729    4.5282   0.0
    6.6000   46.7155113220   44.1999000000    5.7065    4.5120   0.0
    6.6000   48.0335006714   45.2304000000    5.7332    4.4982   0.0
    6.6000   49.2347679138   46.1578000000    5.7567    4.4854   0.0
    6.6000   50.2834243774   46.9582000000    5.7767    4.4739   0.0
    6.6000   51.2677536011   47.6679000000    5.7953    4.4563   0.0
    6.6000   52.1161651611   48.2538000000    5.8110    4.4390   0.0
    6.6000   52.9077110291   48.7862000000    5.8253    4.4224   0.0
    6.6000   53.5666732788   49.2186000000    5.8370    4.4083   0.0
    6.6000   54.1869277954   48.4261000000    5.8457    4.3409   0.0
    6.6000   54.7006340027   46.4947000000    5.8502    4.2295   0.0
    6.6000   55.1860847473   44.4733000000    5.8541    4.1184   0.0
    6.6000   55.6304206848   42.4301000000    5.8573    4.0095   0.0
    6.6000   56.0074386597   40.5832000000    5.8600    3.9138   0.0
    6.6000   57.0234909058   37.8622000000    5.8965    4.4507   0.0
    6.6000   57.0997238159   37.8278000000    5.9115    4.4761   0.0
    6.6000   57.1434020996   37.8044000000    5.9240    4.4185   0.0
    6.6000   57.1620635986   37.7935000000    5.9269    4.3482   0.0
    6.6000   57.1730461121   37.7253000000    5.9306    4.2762   0.0
    6.6000   57.1818199158   37.6345000000    5.9343    4.1944   0.0
    6.6000   57.1892318726   37.5268000000    5.9383    4.0878   0.0
    6.6000   57.1944427490   37.4369000000    5.9413    3.9825   0.0
    6.6000   57.2002105713   37.3167000000    5.9442    3.8883   0.0
    6.6000   57.2062416077   37.2340000000    5.9461    3.8518   0.0
    6.6000   57.2108993530   37.1701000000    5.9472    3.8300   0.0
    6.6000   57.2163810730   37.0562000000    5.9513    3.8184   0.0
    6.6000   57.2207641602   36.9629000000    5.9552    3.8110   0.0
    6.6000   57.2279014587   36.8155000000    5.9615    3.8015   0.0
    6.6000   57.2331085205   36.7078000000    5.9661    3.7963   0.0
    6.6000   57.2363929749   36.6389000000    5.9690    3.7935   0.0
    6.6000   57.2396812439   36.5692000000    5.9719    3.7910   0.0
    6.6000   57.2421531677   36.5167000000    5.9740    3.7893   0.0
    6.6000   57.2451667786   36.4525000000    5.9762    3.7875   0.0
    6.6000   57.2470855713   36.4130000000    5.9775    3.7864   0.0
    6.6000   57.2495460510   36.3634000000    5.9791    3.7852   0.0
    6.6000   57.2514610291   36.3248000000    5.9804    3.7842   0.0
    6.6000   57.2536621094   36.2803000000    5.9817    3.7831   0.0
    6.6000   57.2555732727   36.2393000000    5.9826    3.7825   0.0
    6.6000   57.2577705383   36.1922000000    5.9836    3.7817   0.0
    6.6000   57.2596855164   36.1510000000    5.9845    3.7810   0.0
    6.6000   57.2618827820   36.1039000000    5.9855    3.7803   0.0
    6.6000   57.2637977600   36.0627000000    5.9864    3.7796   0.0
    6.6000   57.2659873962   36.0158000000    5.9874    3.7789   0.0
    6.6000   57.2679100037   35.9745000000    5.9883    3.7783   0.0
    6.6000   57.2700996399   35.9280000000    5.9893    3.7777   0.0
    6.6000   57.2728385925   35.8698000000    5.9905    3.7770   0.0
    6.6000   57.2755737305   35.8117000000    5.9918    3.7763   0.0
    6.6000   57.2788581848   35.7420000000    5.9933    3.7755   0.0
    6.6000   57.2829742432   35.6546000000    5.9952    3.7745   0.0
    6.6000   57.2870750427   35.5676000000    5.9970    3.7735   0.0
    6.6000   57.2914543152   35.4746000000    5.9990    3.7724   0.0
    6.6000   57.2958335876   35.3816000000    6.0010    3.7713   0.0
    6.6000   57.3025550842   35.2423000000    6.0017    3.7744   0.0
    6.6000   57.3119659424   35.0472000000    6.0027    3.7787   0.0
    6.6000   58.3075408936   30.3304000000    6.0190    4.7433   0.0
    6.6000   58.8910140991   29.9568000000    6.0118    4.8561   0.0
    6.6000   60.0000000000   29.1830000000    5.9990    4.9703   0.0
    6.6000   60.7093772888   29.2168000000    5.9957    4.9969   0.0
    6.6000   61.3161048889   29.2323000000    6.0017    5.0005   0.0
    6.6000   61.8795890808   29.3102000000    6.0086    5.0080   0.0
    6.6000   62.7525749207   29.3694000000    6.0206    5.0379   0.0
    6.6000   64.3053665161   28.2033000000    5.9990    5.1022   0.0
    6.6000   65.4615402222   25.8926000000    5.9500    5.0885   0.0
    6.6000   65.6739044189   25.5492000000    5.9426    5.0863   0.0
    6.6000   66.1087722778   24.8651000000    5.9283    5.0854   0.0
    6.6000   66.2077636719   24.7551000000    5.9258    5.0857   0.0
    6.6000   66.6179962158   24.3059000000    5.9158    5.0863   0.0
    6.6000   67.2438049316   23.7157000000    5.9037    5.0862   0.0
    6.6000   67.3580322266   23.6280000000    5.9024    5.0846   0.0
    6.6000   67.4639968872   23.5469000000    5.9012    5.0830   0.0
    6.6000   67.6478424072   23.4066000000    5.8992    5.0805   0.0
    6.6000   67.7328872681   23.2006000000    5.8984    5.0792   0.0
    6.6000   67.7804183960   20.5093000000    5.8984    5.0791   0.0
    6.6000   67.8571548462   15.9073000000    5.8986    5.0792   0.0
    6.6000   67.9291229248   11.1512000000    5.8987    5.0793   0.0
    6.6000   68.0051345825    5.1934000000    5.8989    5.0798   0.0
    6.6000   68.0091552734    4.8265000000    5.8989    5.0801   0.0
    6.6000   68.0203475952    3.7427000000    5.8990    5.0804   0.0
    6.6000   68.0271530151    3.7168000000    5.8992    5.0811   0.0
    6.6000   68.0387573242    3.7204000000    5.8997    5.0820   0.0
    6.6000   68.0527725220    3.7249000000    5.9002    5.0831   0.0
    6.6000   68.1088562012    3.7426000000    5.9025    5.0863   0.0
    6.6000   68.1328811646    3.7503000000    5.9035    5.0876   0.0
    6.6000   68.1369018555    3.7514000000    5.9038    5.0870   0.0
    6.6000   68.1408767700    3.7525000000    5.9041    5.0860   0.0
    6.6000   68.1448974609    3.7536000000    5.9044    5.0850   0.0
    6.6000   68.1489105225    3.7547000000    5.9048    5.0840   0.0
    6.6000   68.1529083252    3.7558000000    5.9051    5.0828   0.0
    6.6000   68.1569290161    3.7569000000    5.9056    5.0813   0.0
    6.6000   68.1609268188    3.7580000000    5.9066    5.0802   0.0
    6.6000   68.1649322510    3.7586000000    5.9077    5.0791   0.0
    6.6000   68.1669387817    3.7589000000    5.9082    5.0788   0.0
    6.6000   68.1709365845    3.7595000000    5.9092    5.0777   0.0
    6.6000   68.1749572754    3.7600000000    5.9103    5.0765   0.0
    6.6000   68.1789703369    3.7606000000    5.9113    5.0760   0.0
    6.6000   68.1869735718    3.7618000000    5.9134    5.0757   0.0
    6.6000   68.1989898682    3.7634000000    5.9169    5.0962   0.0
    6.6000   68.2150344849    3.7657000000    5.9230    5.0948   0.0
#  log(age)     mini          mact           logl     logt  phase
    6.6500    0.1500000060    0.1500000000   -2.4002    3.5584   0.0
    6.6500    0.2000000030    0.2000000000   -2.0997    3.5865   0.0
    6.6500    0.2500000000    0.2500000000   -1.9066    3.5991   0.0
    6.6500    0.3000000119    0.3000000000   -1.7539    3.6092   0.0
    6.6500    0.3499999940    0.3500000000   -1.6283    3.6171   0.0
    6.6500    0.4000000060    0.4000000000   -1.4837    3.6224   0.0
    6.6500    0.4499999881    0.4500000000   -1.3712    3.6294   0.0
    6.6500    0.5000000000    0.5000000000   -1.2420    3.6380   0.0
    6.6500    0.5500000119    0.5500000000   -1.1005    3.6491   0.0
    6.6500    0.6000000238    0.6000000000   -0.9576    3.6623   0.0
    6.6500    0.6999999881    0.7000000000   -0.6600    3.7016   0.0
    6.6500    0.8000000119    0.8000000000   -0.3880    3.7430   0.0
    6.6500    0.8999999762    0.9000000000   -0.1496    3.7752   0.0
    6.6500    1.0018262863    1.0018000000    0.0765    3.8023   0.0
    6.6500    1.1018263102    1.1018000000    0.2767    3.8268   0.0
    6.6500    1.2018263340    1.2018000000    0.4530    3.8514   0.0
    6.6500    1.3018262386    1.3018000000    0.6120    3.8824   0.0
    6.6500    1.4018262625    1.4018000000    0.7551    3.9147   0.0
    6.6500    1.5018262863    1.5018000000    0.8827    3.9436   0.0
    6.6500    1.6009131670    1.6009000000    1.0032    3.9710   0.0
    6.6500    1.7000000477    1.7000000000    1.1129    3.9944   0.0
