#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60    0.1500000060  0.1500  -2.3036   3.5907   5.2265   0.4787   0.0000
    6.60    0.2000000030  0.2000  -2.0080   3.6158   5.1562   0.4787   0.0000
    6.60    0.2500000000  0.2500  -1.7958   3.6285   5.0917   0.4787   0.0000
    6.60    0.3000000119  0.3000  -1.6574   3.6372   5.0673   0.4787   0.0000
    6.60    0.3499999940  0.3500  -1.5359   3.6446   5.0424   0.4787   0.0000
    6.60    0.4000000060  0.4000  -1.4187   3.6513   5.0100   0.4787   0.0000
    6.60    0.4499999881  0.4500  -1.2816   3.6596   4.9572   0.4787   0.0000
    6.60    0.5000000000  0.5000  -1.1516   3.6693   4.9117   0.4787   0.0000
    6.60    0.5500000119  0.5500  -1.0015   3.6842   4.8626   0.4787   0.0000
    6.60    0.6000000238  0.6000  -0.8341   3.7095   4.8343   0.4787   0.0000
    6.60    0.6999999881  0.7000  -0.5341   3.7480   4.7551   0.4787   0.0000
    6.60    0.8000000119  0.8000  -0.2584   3.7843   4.6826   0.4787   0.0000
    6.60    0.8999999762  0.9000  -0.0143   3.8158   4.6159   0.4787   0.0000
    6.60    1.0000000000  1.0000   0.2014   3.8464   4.5682   0.4787   0.0000
    6.60    1.1500000954  1.1500   0.4751   3.8995   4.5677   0.4787   0.0000
    6.60    1.2500000000  1.2500   0.6391   3.9361   4.5862   0.4787   0.0000
    6.60    1.3999999762  1.4000   0.8545   3.9846   4.6142   0.4787   0.0000
    6.60    1.5000000000  1.5000   0.9795   4.0128   4.6316   0.4787   0.0000
    6.60    1.6000000238  1.6000   1.0963   4.0385   4.6458   0.4787   0.0000
    6.60    1.7250000238  1.7250   1.2292   4.0680   4.6634   0.4787   0.0000
    6.60    1.7599999905  1.7600   1.2647   4.0756   4.6672   0.4787   0.0000
    6.60    1.7999999523  1.8000   1.3039   4.0838   4.6705   0.4787   0.0000
    6.60    1.8999999762  1.9000   1.3974   4.1034   4.6788   0.4787   0.0000
    6.60    2.0000000000  2.0000   1.4851   4.1216   4.6863   0.4787   0.0000
    6.60    2.2000000477  2.2000   1.6371   4.1539   4.7047   0.4787   0.0000
    6.60    2.5000000000  2.5000   1.8362   4.1919   4.7134   0.4787   0.0000
    6.60    3.0000000000  3.0000   2.1056   4.2389   4.7110   0.4787   0.0000
    6.60    3.5000000000  3.5000   2.3281   4.2745   4.6978   0.4787   0.0000
    6.60    4.0000000000  4.0000   2.5163   4.3026   4.6800   0.4787   0.0000
    6.60    4.5000000000  4.5000   2.6803   4.3269   4.6646   0.4787   0.0000
    6.60    5.0000000000  5.0000   2.8253   4.3480   4.6496   0.4787   0.0000
    6.60    5.4271688461  5.4272   2.9352   4.3637   4.6382   0.4787   0.0000
    6.60    6.5000000000  6.5000   3.1782   4.3993   4.6158   0.4787   0.0000
    6.60    9.5000000000  9.5000   3.6494   4.4652   4.5732   0.4787   0.0000
    6.60   11.0000000000 10.9939   3.7945   4.4855   4.5725   0.4787   0.0000
    6.60   13.0715322495 13.0624   4.0593   4.5201   4.5210   0.4787   0.0000
    6.60   16.6443710327 16.6287   4.4484   4.5681   4.4290   0.4787   0.0000
    6.60   17.5000000000 17.4826   4.5324   4.5779   4.4057   0.4787   0.0000
    6.60   20.2923355103 20.2635   4.7129   4.5973   4.3670   0.4787   0.0000
    6.60   28.5244064331 28.4408   5.1448   4.6326   4.2234   0.4787   0.0000
    6.60   35.0000000000 34.8436   5.4166   4.6389   4.0651   0.4787   0.0000
    6.60   39.4895439148 39.2708   5.5397   4.6332   3.9713   0.4787   0.0000
    6.60   46.8574867249 46.4867   5.7172   4.6019   3.7417   0.4787   0.0000
    6.60   50.0000000000 49.5177   5.7857   4.5759   3.5967   0.4787   0.0000
    6.60   52.8269691467 52.2298   5.8387   4.5547   3.4822   0.4787   0.0000
