# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.080000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.090000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.100000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.110000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.130000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.150000   0.1500  -2.3036   3.5907   5.2265   0.4787   0.0000
    5.50    0.200000   0.2000  -2.0080   3.6158   5.1562   0.4787   0.0000
    5.50    0.250000   0.2500  -1.7958   3.6285   5.0917   0.4787   0.0000
    5.50    0.300000   0.3000  -1.6574   3.6372   5.0673   0.4787   0.0000
    5.50    0.350000   0.3500  -1.5359   3.6446   5.0424   0.4787   0.0000
    5.50    0.400000   0.4000  -1.4187   3.6513   5.0100   0.4787   0.0000
    5.50    0.450000   0.4500  -1.2816   3.6596   4.9572   0.4787   0.0000
    5.50    0.500000   0.5000  -1.1516   3.6693   4.9117   0.4787   0.0000
    5.50    0.550000   0.5500  -1.0015   3.6842   4.8626   0.4787   0.0000
    5.50    0.600000   0.6000  -0.8465   3.7035   4.8227   0.4787   0.0000
    5.50    0.700000   0.7000  -0.5461   3.7444   4.7528   0.4787   0.0000
    5.50    0.800000   0.8000  -0.2712   3.7810   4.6823   0.4787   0.0000
    5.50    0.900000   0.9000  -0.0266   3.8118   4.6121   0.4787   0.0000
    5.50    1.000000   1.0000   0.1892   3.8414   4.5606   0.4787   0.0000
    5.50    1.100000   1.1000   0.3798   3.8734   4.5394   0.4787   0.0000
    5.50    1.200000   1.2000   0.5532   3.9114   4.5556   0.4787   0.0000
    5.50    1.300000   1.3000   0.7079   3.9466   4.5763   0.4787   0.0000
    5.50    1.400000   1.4000   0.8470   3.9776   4.5933   0.4787   0.0000
    5.50    1.500000   1.5000   0.9719   4.0060   4.6122   0.4787   0.0000
    5.50    1.600000   1.6000   1.0899   4.0316   4.6246   0.4787   0.0000
    5.50    1.700000   1.7000   1.1958   4.0557   4.6414   0.4787   0.0000
    5.50    1.750000   1.7500   1.2469   4.0667   4.6468   0.4787   0.0000
    5.50    1.800000   1.8000   1.2955   4.0768   4.6509   0.4787   0.0000
    5.50    1.900000   1.9000   1.3889   4.0965   4.6596   0.4787   0.0000
    5.50    2.001160   2.0012   1.4433   4.1140   4.7033   0.4787   0.0000
    5.50    2.051330   2.0513   1.4837   4.1211   4.7016   0.4787   0.0000
    5.50    2.102640   2.1026   1.5237   4.1280   4.6997   0.4787   0.0000
    5.50    2.155350   2.1553   1.5639   4.1349   4.6981   0.4787   0.0000
    5.50    2.209130   2.2091   1.6041   4.1417   4.6961   0.4787   0.0000
    5.50    2.264640   2.2646   1.6443   4.1486   4.6943   0.4787   0.0000
    5.50    2.321320   2.3213   1.6845   4.1557   4.6926   0.4787   0.0000
    5.50    2.379370   2.3794   1.7248   4.1626   4.6907   0.4787   0.0000
    5.50    2.438220   2.4382   1.7649   4.1697   4.6897   0.4787   0.0000
    5.50    2.502190   2.5022   1.8051   4.1778   4.6932   0.4787   0.0000
    5.50    2.568760   2.5688   1.8455   4.1860   4.6978   0.4787   0.0000
    5.50    2.636800   2.6368   1.8855   4.1945   4.7021   0.4787   0.0000
    5.50    2.706630   2.7066   1.9257   4.2027   4.7065   0.4787   0.0000
    5.50    2.778500   2.7785   1.9659   4.2110   4.7109   0.4787   0.0000
    5.50    2.852210   2.8522   2.0062   4.2192   4.7153   0.4787   0.0000
    5.50    2.926560   2.9266   2.0463   4.2282   4.7214   0.4787   0.0000
    5.50    3.005790   3.0058   2.0866   4.2350   4.7203   0.4787   0.0000
    5.50    3.088030   3.0880   2.1267   4.2413   4.7169   0.4787   0.0000
    5.50    3.172230   3.1722   2.1668   4.2475   4.7137   0.4787   0.0000
    5.50    3.258870   3.2589   2.2069   4.2538   4.7103   0.4787   0.0000
    5.50    3.347970   3.3480   2.2471   4.2602   4.7071   0.4787   0.0000
    5.50    3.439310   3.4393   2.2871   4.2663   4.7037   0.4787   0.0000
    5.50    3.533210   3.5332   2.3273   4.2727   4.7004   0.4787   0.0000
    5.50    3.629880   3.6299   2.3675   4.2790   4.6970   0.4787   0.0000
    5.50    3.728580   3.7286   2.4075   4.2852   4.6938   0.4787   0.0000
    5.50    3.830650   3.8307   2.4476   4.2915   4.6906   0.4787   0.0000
    5.50    3.932830   3.9328   2.4878   4.2978   4.6868   0.4787   0.0000
    5.50    4.044300   4.0443   2.5281   4.3036   4.6817   0.4787   0.0000
    5.50    4.158910   4.1589   2.5682   4.3092   4.6766   0.4787   0.0000
    5.50    4.276670   4.2767   2.6084   4.3151   4.6714   0.4787   0.0000
    5.50    4.398010   4.3980   2.6488   4.3208   4.6663   0.4787   0.0000
    5.50    4.522310   4.5223   2.6888   4.3264   4.6612   0.4787   0.0000
    5.50    4.650220   4.6502   2.7288   4.3323   4.6560   0.4787   0.0000
    5.50    4.782220   4.7822   2.7692   4.3379   4.6509   0.4787   0.0000
    5.50    4.915600   4.9156   2.8094   4.3438   4.6458   0.4787   0.0000
    5.50    5.061670   5.0617   2.8496   4.3497   4.6423   0.4787   0.0000
    5.50    5.214060   5.2141   2.8898   4.3556   4.6388   0.4787   0.0000
    5.50    5.371380   5.3714   2.9299   4.3616   4.6354   0.4787   0.0000
    5.50    5.532940   5.5329   2.9702   4.3675   4.6320   0.4787   0.0000
    5.50    5.699620   5.6996   3.0104   4.3737   4.6286   0.4787   0.0000
    5.50    5.871540   5.8715   3.0506   4.3796   4.6252   0.4787   0.0000
    5.50    6.047990   6.0480   3.0908   4.3855   4.6219   0.4787   0.0000
    5.50    6.229980   6.2300   3.1310   4.3915   4.6185   0.4787   0.0000
    5.50    6.417690   6.4177   3.1712   4.3975   4.6149   0.4787   0.0000
    5.50    6.610670   6.6107   3.2113   4.4034   4.6115   0.4787   0.0000
    5.50    6.809590   6.8096   3.2515   4.4095   4.6082   0.4787   0.0000
    5.50    7.015840   7.0158   3.2918   4.4156   4.6058   0.4787   0.0000
    5.50    7.233350   7.2333   3.3319   4.4220   4.6044   0.4787   0.0000
    5.50    7.455990   7.4560   3.3722   4.4284   4.6027   0.4787   0.0000
    5.50    7.684630   7.6846   3.4124   4.4347   4.6007   0.4787   0.0000
    5.50    7.920080   7.9199   3.4524   4.4409   4.5988   0.4787   0.0000
    5.50    8.162980   8.1630   3.4926   4.4472   4.5969   0.4787   0.0000
    5.50    8.413250   8.4132   3.5328   4.4534   4.5950   0.4787   0.0000
    5.50    8.671230   8.6712   3.5730   4.4598   4.5930   0.4787   0.0000
    5.50    8.937360   8.9374   3.6132   4.4661   4.5910   0.4787   0.0000
    5.50    9.216320   9.2164   3.6535   4.4716   4.5861   0.4787   0.0000
    5.50    9.505080   9.5051   3.6936   4.4771   4.5808   0.4787   0.0000
    5.50    9.802710   9.8026   3.7338   4.4823   4.5757   0.4787   0.0000
    5.50   10.110500  10.1105   3.7740   4.4878   4.5704   0.4787   0.0000
    5.50   10.427700  10.4276   3.8142   4.4931   4.5652   0.4787   0.0000
    5.50   10.753900  10.7538   3.8544   4.4984   4.5599   0.4787   0.0000
    5.50   11.089900  11.0900   3.8944   4.5039   4.5546   0.4787   0.0000
    5.50   11.437600  11.4376   3.9348   4.5092   4.5493   0.4787   0.0000
    5.50   11.795900  11.7959   3.9750   4.5146   4.5440   0.4787   0.0000
    5.50   12.173200  12.1731   4.0153   4.5201   4.5390   0.4787   0.0000
    5.50   12.569200  12.5692   4.0554   4.5255   4.5344   0.4787   0.0000
    5.50   12.978400  12.9783   4.0956   4.5309   4.5296   0.4787   0.0000
    5.50   13.403400  13.4032   4.1358   4.5363   4.5250   0.4787   0.0000
