# most of this table is taken directly from the MPA reductions website:
# http://www.mpa-garching.mpg.de/SDSS/DR4/SDSS_fixedidx.html
# supplemented with my own indices. See INDEX_LIST for details
# feature,  blue continuum,  red continuum, type (1=mag, 2=Ang, 3=flux ratio, 4=mag), name
4142.125   4177.125  	4080.125   4117.625     4244.125   4284.125  	1    CN1
4142.125   4177.125 	4083.875   4096.375 	4244.125   4284.125 	1    CN2
4222.250   4234.750 	4211.000   4219.750 	4241.000   4251.000 	2    Ca4227
4281.375   4316.375 	4266.375   4282.625 	4318.875   4335.125 	2    G4300
4369.125   4420.375 	4359.125   4370.375 	4442.875   4455.375 	2    Fe4383
4452.125   4474.625 	4445.875   4454.625 	4477.125   4492.125 	2    Ca4455
4514.250   4559.250 	4504.250   4514.250 	4560.500   4579.250 	2    Fe4531
4634.000   4720.250 	4611.500   4630.250 	4742.750   4756.500 	2    C4668
4847.875   4876.625 	4827.875   4847.875 	4876.625   4891.625 	2    Hbeta
4977.750   5054.000 	4946.500   4977.750 	5054.000   5065.250 	2    Fe5015
5069.125   5134.125 	4895.125   4957.625 	5301.125   5366.125 	1    Mg1
5154.125   5196.625 	4895.125   4957.625 	5301.125   5366.125 	1    Mg2
5160.125   5192.625 	5142.625   5161.375 	5191.375   5206.375 	2    Mgb
5245.650   5285.650 	5233.150   5248.150 	5285.650   5318.150 	2    Fe5270
5312.125   5352.125 	5304.625   5315.875 	5353.375   5363.375 	2    Fe5335
5387.500   5415.000 	5376.250   5387.500 	5415.000   5425.000 	2    Fe5406
5696.625   5720.375  	5672.875   5696.625 	5722.875   5736.625 	2    Fe5709
5776.625   5796.625 	5765.375   5775.375 	5797.875   5811.625 	2    Fe5782
5876.875   5909.375 	5860.625   5875.625 	5922.125   5948.125 	2    NaD
5936.625   5994.125 	5816.625   5849.125 	6038.625   6103.625 	1    TiO1
6189.625   6272.125 	6066.625   6141.625 	6372.625   6415.125 	1    TiO2
4083.500   4122.250 	4041.600   4079.750 	4128.500   4161.000 	2    HdeltaA
4319.750   4363.500 	4283.500   4319.750 	4367.250   4419.750 	2    HgammaA
4091.000   4112.250 	4057.250   4088.500 	4114.750   4137.250 	2    HdeltaF
4331.250   4352.250 	4283.500   4319.750 	4354.750   4384.750 	2    HgammaF
     99.  	99.	3850.000   3950.000	4000.000   4100.000	3    Dn4000
22892.00   24492.00	21377.00   22977.00	     99.        99.	4    CO_2.3
19753.00   20953.00	21377.00   22977.00	     99.        99.	4    H2O_2.1
10900.00   11000.00	10750.00   10850.00	     99.        99.	4    CN_1.1
17680.00   17820.00	17520.00   17620.00	     99.        99.	4    C2_1.77
