Description		Cloudy name		Notes
Ly alpha 1216		H  1 1215.68A
Ly beta 1025		H  1 1025.73A
Ly gamma 972		H  1 972.543A
Ly delta 949		H  1 949.749A
Ly 937	 		H  1 937.809A
Ly 930			H  1 930.754A
Ly 926			H  1 926.231A
Ly 922			H  1 920.969A
H alpha 6563		H  1 6562.85A
H beta 4861		H  1 4861.36A
H gamma 4340		H  1 4340.49A
H delta 4102		H  1 4101.76A
H 3970			H  1 3970.09A
H 3889			H  1 3889.07A
H 3835			H  1 3835.40A
H 3798			H  1 3797.92A
Pa alpha 18752		H  1 1.87511m
Pa beta 12819		H  1 1.28181m
Pa gamma 10939		H  1 1.09381m
Pa delta 10050		H  1 1.00494m
Pa 9546	 		H  1 9545.99A
Pa 9229			H  1 9229.03A
Pa 9015			H  1 9014.92A
Br alpha 40515		H  1 4.05116m
Br beta 26254		H  1 2.62515m
Br gamma 21657		H  1 2.16553m
Br delta 19447		H  1 1.94456m
Br 18175 		H  1 1.81741m
Br 17363		H  1 1.73621m
Pf alpha 74585		H  1 7.45781m
Pf beta 46529		H  1 4.65250m
Pf gamma 37398		H  1 3.73953m
Pf delta 32964		H  1 3.29609m
Pf 30386 		H  1 3.03837m
Hu alpha 12.4µm		H  1 12.3685m
Hu beta 75011		H  1 7.50043m
Hu gamma 59071		H  1 5.90659m
Hu delta 51277		H  1 5.12725m
HeI 4472		He 1 4471.47A
HeI 5877		He 1 5875.61A
HeI 6680		He 1 6678.15A
HeI 10833		TOTL 1.08299m		three He lines in multiplet
HeI 3889		He 1 3888.63A
HeI 7065		He 1 7065.18A
Ca II			Ca 2 3933.00A
[CI]9850		TOTL 9850.00A		far red forbidden line
[CI]8727		C  1 8727.00A
[CI]4621		C  1 4621.00A		
[CI]610µm		C  1 609.200m
[CI]369µm		C  1 369.700m
[CII]157.7µm		C  2 157.600m
[CII]2326		TOTL 2326.00A		2324.69 + 2328.12 lines
[NI]5200		N  1 5200.00A
[NI]3467 		TOTL 3467.00A		3466 + 3468
[NI]10405		TOTL 1.04030m		1.03997,1.0398,1.0407,1.0408m
[NII]6585		N  2 6584.00A
[NII]6549		N  2 6548.00A
[NII]5756		N  2 5755.00A
[NII]122µm		N  2 121.700m
[NII]205µm		N  2 205.400m
[NII]2141		N  2 2141.00A
[NIII]57µm		N  3 57.2100m
[OI]6302		O  1 6300.00A
[OI]6365		O  1 6363.00A
[OI]5578		O  1 5577.00A
[OI]63µm		O  1 63.1700m
[OI]145µm		O  1 145.530m
[OII]3727		TOTL 3727.00A		3729, 3726
[OII]7327		TOTL 7325.00A		7323, 7332
[OII]2471		O II 2471.00A
OIII]1663		O  3 1661.00A
[OIII]5007		O  3 5007.00A
[OIII]4960		O  3 4959.00A
[OIII]4364		TOTL 4363.00A		collis and recomb
[OIII]2321		O  3 2321.00A
[OIII]88µm		O  3 88.3300m
[OIII]52µm		O  3 51.8000m
[NeII]12.8µm		Ne 2 12.8100m
[NeIII]15.5µm		Ne 3 15.5500m
[NeIII]36µm		Ne 3 36.0140m
[NeIII]3870		Ne 3 3869.00A
[NeIII]3968		Ne 3 3968.00A
[NeIII]3343		Ne 3 3343.00A
[NeIII]1815		Ne 3 1815.00A
[NeIV]			Ne 4 4720.00A
MgII 2800		TOTL 2798.00A		Mg 2 2795 + 2802
[SiII]35µm		Si 2 34.8140m
[SII]10331		S  2 1.03300m	
[SII]6732		S II 6731.00A
[SII 6720		S  2 6720.00A				
[SII]6717		S II 6716.00A
[SII]4070		S II 4070.00A
[SII]4078		S II 4078.00A
[SIII]18.7µm		S  3 18.6700m
[SIII]33.5µm		S  3 33.4700m
[SIII]9533		S  3 9532.00A
[SIII]9071		S  3 9069.00A
[SIII]6314		S  3 6312.00A
[SIII]3723		S  3 3722.00A
[SIV]10.5µm		S  4 10.5100m
[ArII]7µm		Ar 2 6.98000m
[ArIII]7138		Ar 3 7135.00A		
[ArIII]7753		Ar 3 7751.00A
[ArIII]5193		Ar 3 5192.00A
[ArIII]3110		Ar 3 3109.00A
[ArIII]22µm		Ar 3 21.8300m
[ArIII]9µm		Ar 3 9.00000m
[ArIV]			Ar 4 7331.00A
